Başlık,Şikayet
"Teslim Edilmeyen Ürün, Artan Fiyat Ve İlgisiz Müşteri Hizmeti: Mağduriyetim Giderilmiyor","9 Temmuz'da Trendyol'dan ve Trendyol satıcısından almış olduğum robot süpürge teslim edilemiyor. 15 Temmuz oldu, hâlâ transfer sürecinde görünüyor ve ben arayana kadar kargonun durdurulduğu bilgisi verilmedi. Ürünün bu süreçte fiyatı da 2 bin TL arttı. İyi ihtimalle hâlâ teslim edilebilir ama yüksek ihtimalle para iadesi yapılır şeklinde umursamazca cevap veriliyor. Dile getirdiğimde, iade edilen tutar ile şu an ürünü alamıyorum. Ayrıca taksitli aldığım için paramın tamamı da 6 ay sonra verilecek. Asla çözüm üretmiyorlar. Söylediğimde de, tüm bunlara 'Elimizden bir şey gelmez' diyorlar sadece."
Trendyol Kartım Güvenlik Nedeniyle Alışverişe Kapandı Müşteri Hizmetlerine Ulaşamıyorum,Trendyol kartımla 1 yildir alışveriş yapamıyorum. Halbuki dünya kadar şey almıştım. Ağustos ayında güvenlik nedeniyle alışveriş yapamazsınız dedi. Yani borcunu günü gününe ödeyen biri nasıl olur da güvenliğe takılır? Bu arada Trendyol müşteri hizmetlerine asla ulaşılmıyor
Satıcı Bozuk Şarj Cihazı İçin İade Kabul Etmiyor Mağdur Edildim,Merhaba. Trendyol alışveriş sitesinden Xiaomi Redmi hızlı şarj cihazı aldım. Cihazı denediğimde bozuk çıktı. Satıcı firma cihazının arkasında durmuyor iade kabul etmiyor. Garanti firmasına göndermemi istiyor. Mağdur edildin ve hiç yardımcı olunmadı. İade etmek istiyorum
"Aldığım Oda Soğutucu Görevini Yerine Getirmiyor, İade Talebim Reddedildi","Trendyol'dan buz ve su konularak oda soğutan bir ürün aldım. Ürünü 3.800 TL ödeyerek satın aldım. Kargoyla geldi. Bir defa kullandım; ancak hiçbir şekilde soğutma yapmıyordu. İade oluşturdum ve gönderdim. Bugün bana söylenen, 'Beğenmediğiniz için iade edemezsiniz' oldu. Ben Trendyol'dan bugüne kadar 500.000 TL'ye yakın harcama yaptım. İlk defa bir ürünü iade etmek istedim, o da kabul edilmedi. Oda soğutan cihaz, odayı soğutmuyor; yani görevini yerine getirmiyor. İademin kabul edilmesini istiyorum. Aksi halde, bu yaz için evimi soğutma ihtiyacım bulunduğundan başka bir ürün alacak param yok. Aksi halde tazminat davası açmak durumunda kalacağım."
"İade Talebim Reddedildi, Tehdit Ediliyorum!","Merhaba, ben Trendyol üzerinden 21 Haziran günü bir kulaklık aldım ve kulaklık kusurluydu. Bunu iade ettim. Firma, kusurunu kabul edip bana ürünü değiştirip gönderdi. Ben değişim değil, iade istediğim halde ikinci ürün de değişim şeklinde bana geldi. Ben kabul etmedim, kargoyu açmadan geri gönderdim. Şu an kargom ortada yok. Satıcıya yazdığımda beni tehdit edip dava edeceğini söylüyor. Sabahtan beri çok mağdurum, lütfen yardımcı olun."
"Trendyol'dan Alınan Ürünün İadesi Kabul Edilmedi, Müşteri Desteği Yetersiz Kaldı",Trendyol iade sorunu Trendyol'dan aldığım G**** e E**** yayınevine ait. Kalıpları aldım ve sonrasında çok pahalı olduğunu anladım. Bundan dolayı iade hakkımı kullanarak iade ettim. Ürünler ambalajlı geldi. Ambalajlarını açmadan iade ettim. Satıcı iademi kabul etmedi Trendyol'dan aradılar bilgi verdiler. Kendilerine de açmadığımı söyledim ancak çokta kale almadılar
"Trendyol Siparişim 7 Gündür Teslim Edilmedi, Müşteri Hizmetleri Sürekli Oyalıyor",09.07.2025 çarşamba günü Trendyol'dan 10339868419 sipariş numaralı gönderim 7 gündür gelmedi. Kargoya da ulaşamıyorum. Trendyol iptal de yapmıyor. Mağdur durumdayım. Kimseye ulaşamıyorum. Trendyol asistandaki arkadaşlar sürekli 2 gün daha bekleyin deyip oyalıyorlar. Ürün İstanbul dan Bursa'ya gelecek o kadar ama kimse ilgilenmiyor. Bugün Trendyol asistandan U*** Bey 3 gün daha bekleyin dedi. Şoka girdim. Ondan önce S*** Hanım 2 gün bekleyin 3 gün sonra bu sefer Z***** Hanım 2 daha bekleyin geliyor dedi hala gelmedi ürünüm. Lütfen yardımcı olun. Trendyol pişmanlıktır. Onu anladım. Bir daha sanırım bu platform üzerinden alışveriş yapmayacağım. Umursamıyorlar ve yalan söyleyip oyalıyorlar.
Ödemem Beş Gündür Hesabıma Aktarılmadı,Hesabıma para aktarma yapılmıyor. Bakiyede bekletiliyor. Ödeme hesabıma aktarılmıyor. Bir iş günü içerisinde yatması gerekiyor ama neden beş gündür bekliyorum. Hemen düzeltilmesini istiyorum. Bu saçmalığın sona ermesini ve ödememin hesabıma yatmasını istiyorum.
Teslimat Gecikmesi Yüzünden Tatil Planım İptal Oldu Müşteriyle İlgilenilmedi,"25 Haziran’da hft Home üzerinden Trendyol’dan bir karyola sipariş ettim. Teslimat tarihi 7 Temmuz görünüyordu, ama haftalarca ‘birkaç gün içinde kargoya verilecek’ bahanesiyle oyalandım."
Bir Gecede 10.563 TL Zam Ve Rakiplerle Birebir Aynı Fiyat Şaşkınlığı,"Gece sepetime eklediğim. 37.999 TL lik ürün sabah kalktığımda 48.562 TL yapmışlar. Fiyat değişimini zamları indirimler anlarımda bir gecede 10.563 liralık zammın açıklaması ne çok merak ediyorum. Aynı rakamları birkaç gün önce diğer internet alışveriş sitesi de yaptı. Trendyol'un koyduğu fiyatta onlarınkiyle birebir aynı. Ne gariptir ki orada da 48.562 TL hani 48.500 falan değil 562 TL birebir aynı. Bu arada satıcı başka biri değil! Trendyol'un kendisi! Sitemizde satış yapan firmalar falan filan insanlara maval okumayın! Ürünün gerçek fiyatı 39.999 TL
Ama piyasada kalmadı galiba kim daha fazlaya satarsa yarışı yapıyorsunuz."
"Arızalı Ürün, Yetersiz Destek Ve Uzayan İade Süreci Nedeniyle Mağduriyet","Trendyol üzerinden Betaplus adlı firmadan bir HP Victus 16-r1088nt i7 model bilgisayar satın aldım. Birkaç gün içinde tarafıma teslim edildi. Ürünü açıp kurulum yaptım; ancak kurulum sırasında M tuşunun arızalı olduğunu fark ettim. Birkaç kez yerine oturtmama rağmen sürekli kalkık pozisyonda durdu. Ertesi gün Trendyol üzerinden satıcı Beta Plus ile iletişime geçtim; beni doğrudan HP’ye yönlendirdiler. HP ile iletişime geçerek 5145****11 numaralı kayıtla durumun takibini başlattım ve görsellerle birlikte sorunu detaylıca aktardım. Yapılan inceleme sonucunda problemin fabrikasyon kaynaklı olmadığı ve ürünün kapalı kutuda gönderilmiş olsa dahi daha önce açılmış olabileceği bilgisi tarafıma iletildi. Bu nedenle sorumluluğun tamamen satıcı firma Beta Plus’a ait olduğu bildirildi.
Son olarak tekrar Beta ile iletişime geçerek iade sürecini başlattım. İade faturası kestim ve ürünü iade ettim. Ürün ellerine ulaştı; ancak inceleme süreci sonrasında garanti vb. süreç başlattılar. En az 4, en fazla 24 gün bekleme süresi verildi. Acilen bilgisayara ihtiyacım var ve gönderdikleri ayıplı ürünün bedelini ben ödüyorum, mağdur oldum. Trendyol ile de görüştüm ama yardımcı olmadılar. Kopyaladıkları mesajları aktarıp durdular. Ciddi anlamda mağdur oldum ve ürünü ertesi gün gönderdim. Neyse ki ürünün kutu açılışı, kullanımı ve paketlemesinin tamamını güvenlik kamerası ile kaydettim. Sonuç almadan bekliyorum ve hemen çözülmesini istiyorum. Çünkü bu şirket bana ayıplı ürün gönderdi. Resimlerde de görünüyor; her tıklamada M tuşu yukarı kalkıyor. Böyle bir şey olabilir mi? Garantiden ürünü bana ikinci el olarak göndereceklerinden endişeliyim. Ama hakkımı arayacağım. Ben ayıplı ürünü kabul etmiyorum."
Kusurlu Ürün Ve Yetersiz Müşteri Hizmeti Nedeniyle Hayal Kırıklığı,7 Temmuz tarihinde Trendyol üzerinden yaklaşık 295 TL ödeyerek bir mont sipariş ettim. Ürün elime ulaştığında montun iç kısmında beyaz kalemle “XS” yazıldığı dikkatimi çekti. Bu durum ürünün ya önceden kullanıldığını ya da ciddi şekilde kusurlu olduğunu gösteriyor.
"Siparişim Hazırlanamıyor, Destek Ve Satıcı Yanıtsız",28 Haziran'da verdiğim siparişim hâlâ hazırlanıyor aşamasında. Tahmini kargoya teslim tarihinin üzerinden uzun zaman geçti. Ürün iptalini sistem üzerinden gerçekleştiremiyorum ve Trendyol asistan destek ekipleri yardımcı olmuyor. Ürünü aldığım satıcı ise 72 saatten daha uzun süredir mesajıma yanıt vermiyor.
Yanlış Sipariş Teslimatı Ve Trendyol GO'da Çözüm Bulamama Sorunu,Trendyol GO üzerinden bir market alışverişi yaptım (320 TL-foto eklendi). Ancak başkasının siparişi geldi (gelen fiş eklendi). Bununla ilgili işlem yapmak için uygulamaya girince sistemde hala sipariş oluşturuluyor diyor (foto eklendi). O sebeple yanlış sipariş geldi. İşlemini akıllı asistan ile yapamadım. Trendyol müşteri hizmetlerini arayınca sipariş teslim edildi gözüküyor. Akıllı asistanda da eski siparişlerim kısmında da böyle gözüküyor. Uygulamayı silip baştan yükledim halen sipariş oluşturuluyor yazıyor. 300 kusur liralık alışverişim sonucu elimde başkasına ait sipariş var 100 liralık bile olmayan. Market diğer ürünleri getirirsem yardımcı olacağını söyledi. Onlara teşekkür ederim. Kendileri bunu yapmasa mağdur olacağım. Trendyol'un hatasını neden market ödemek zorunda kalsın ki?
Trendyol Mağazası Arızalı Oto Teybi İade Almıyor,27 nisanda Trendyol'dan aldığım 9391422290 teslimat numaralı ürünüm mağazanın söylediği özellikleri taşımayarak bana teslim edildi. Ürünün hatalı olduğunu mağazaya defalarca bildirmemize rağmen yaşanan süreç sonu mağaza ürünü iade etmemizi istedi. Ürünü iade ettik mağaza ürünü kabul etmedi sebep ola...
Trendyol Firmasının Yaşattığı Mağduriyet,"Trendyol firması aracılığıyla Çantacım Store'dan çanta satın almıştım fakat bu çantayı iade etmek istediğim zaman yanlışlıkla Trendyol Express çalışanları hem çantayı hem de kot pantolonu yanlışlıkla Çantacım Store'a gönderiyor. Bu durumda da fazladan giden o kot pantolonun Çantacım Store tarafından bana geri gönderilmesi gerekiyor. Fakat yaptığım bütün girişimlerde, bütün yazışmalarda Çantacım Store o kot pantolonu bana göndermeyeceğini söyledi. Ben de bununla ilgili defalarca Trendyol müşteri hizmetleriyle görüştüm. Bana hep bu durumu çözeceklerini söylediler. İki ay geçti. Hem kendi elemanlarının yaptığı hata hem aracı oldukları firmanın yaptığı bu hata benim kot pantolonuma sebep oldu. Çantacım Store benim kot pantolonumu almış oldu. Bana kesinlikle geri göndermiyorlar. Trendyol da bu problemi çözemiyor. Bana verdikleri bilgi şu şekilde. Probleminizi çözemiyoruz. Çantacım Store sizin kot pantolonunuzu geri iade yapmıyor. Yani düşünsenize daha pahalı bir ürün de olabilirdi bu. Yani siz bizim ürünümüzü aracı olarak gönderiyorsunuz. Elemanlarınız yanlış firmaya yanlış ürün gönderiyor. Aracı olduğunuz firma ürünü bize geri göndermiyor. Burada mağdur oluyoruz. Trendyol nasıl böyle bir hata yapabilir?"
Trendyol Satıcıları Sürekli Yanlış Ürünlerle Zamanımızı Çalıyor,"Merhabalar, Trendyol üzerinden Spagetti Yan markasından aldığım rafya iplik yerine bana kağıt iplik gönderilmiş. Renk doğru, adet doğru fakat ipin türü tamamen yanlış. Rafya iplikle kağıt iplik aynı şeyler değildir. Eğer rafya iplikle kağıt ipliği ayırt edemeyecek bir satıcıysanız lütfen Trendyol böyle satıcılara dikkat etsin. Özellikle markanın kendisinden aldım. Yani yetkili satıcıdan aldım ama yine de bu şekilde bir mağduriyet yaşıyorum. Mağduriyetimin en kısa zamanda giderilmesini istiyorum. Kaç gündür bu ipi bekliyorum. Gelen şey bu. Yani lütfen bu benim mağduriyetimi acilen giderin."
Montaj Hataları Ve Yetersiz Destek Nedeniyle Klima İadesinde Mağduriyet,"Trendyol firmasından 01.07.2025 tarihinde 10320072888 sipariş numarasıyla Bosch firmasından online olarak klima aldım. Ancak Bosch yetkili servis elemanı, gerekli keşifleri montaj öncesinde kontrol etmemiştir. Klimanın iç ve dış ünitesini açarak montajı yaptıktan sonra, 'Buraya ancak evde bulunan diğer klima üzerinden atlatma yaparak elektriği bağlayabilirim, sorumluluk alırsanız bağlayayım.' demiştir. Kiracımız ise, 'Ben bunu bilemem, tehlikeli bir şeyse sorumluluk alamam.' demiştir. Servis elemanı, uzatma kablosuyla geçici olarak klimayı çalıştırıp 'İşte oldu.' diyerek elektrik bağlantısını sökmüş, çalışır durumda teslim ettiğine dair rapor düzenlemiş ve garantisini başlatmıştır. Burada teknik servisin gerekli kontrolleri yapmadan montajı yapma kusuru ve raporu eksik ve hatalı tutma kusuru vardır. Halbuki klima takılmaya uygun değilse hiç kutuyu açmamalıydı; 'Bunu yapın, öyle gelip açıp monte edelim.' demesi gerekirdi. Henüz bağlanmadan garanti başlatılması da evrak üzerinde gerçeğe uygun olmayan işlem yapılmasına sebep olmuştur. Klimayı çalışır şekilde teslim ettiğine dair evrak düzenleyerek bırakıp gitmiştir. Bu teknik servis hizmetinden memnun kalmadığımız için ürünü iade etmek istiyoruz. Trendyol, ürünü kargoya bırakmamızı söylüyor; ancak ne Bosch teknik servisi, ne Trendyol, ne de satıcı firma bize yardımcı oluyor. Klima içinde gaz olduğu için bizim sökmemiz mümkün değil. Çalışmayan klimayla ortada kaldık, servis elemanı ise 'Ben bütün her şeyini taktım.' diyor. Trendyol firması, kendi platformu üzerinden satış yaptığı için bizim arkamızda durması gerekiyor; fakat bununla ilgili bir şey yapmıyor. Online ürün olduğu için 14 gün içinde iade hakkımız var, ürünü hiç kullanmadık. Ben tek başıma satıcı firmayla nasıl baş edebilirim? Trendyol'dan müşterisini korumasını bekliyoruz."
Trendyol'da Yorumlarım Nedensizce Reddediliyor Ve Müşteri Hizmetlerine Ulaşamıyorum,Trendyol'da yorumlarım red ediliyor. Hiçbir şekilde argo vs kelime kullanmadığım halde iyi veya kötü yorum yazamıyorum. Trendyol Çağrı merkezine ulaşmam mümkün değil.! Gereğinin yapılmasını talep ediyorum. Trendyol'dan mail vs attım ama kimseye ulaşamadım.
"Siparişim Günlerdir Hazırlanamıyor, İletişim Kuramıyorum","Ayın başında şeker ölçüm stripi siparişi verdim. Tahmini kargoya verilme süresi 07.07 yazıyor ama ayın 15'i oldu, hâlâ 'hazırlanıyor' yazıyor. Mağdur kaldık ve hâlâ kargoya verilmedi. İletişim için yorum yapıyorum, 'uygun değil' yazıyor. Her ne yazsam da bir türlü derdimi anlatamadım. Bir an önce yardımcı olunmasını istiyorum."
Trendyol Plus Üyeliğinde İndirim Hakkım Tanımlanmadı,"Trendyol alis-veriş sitesinde bir ayakkabı Trendyol Plus'a özel
1063.99 Tl deniliyor. Trendyol Plus (55 Tl) üyesi oldum. Bu kez 40 numaralı ayakkabıya indirim tanımlanmadı. Aynı satıcı da aynı ayakkabının 41 ve 42 numarasına indirim Tanımlandığı halde benim 40 numaraya tanımlanmadı. Bugün de o satıcı da o ayakkabıya indirim yok. Başka satıcılarda indirim tanımlanıyor ancak fiyatı çok yüksek indirim Tanımlanıp 1063.99 TL'ye alışverişimi yapmak istiyorum. Aksi halde bu tüketiciye yanılmaya girer!"
Kullanılmadığı Halde İade Reddi Ve Haksızlık Yaşadım,"Trendyol'dan 25 Haziran'da ""Ferzolaio"" adlı satıcıdan aldığım ayakkabının, ayağıma büyük gelmesi nedeniyle 30 Haziran'da (kargo şirketinin randevuyu ertelemesi nedeniyle) iade ettim. 9 Temmuz'da tarafıma ayakkabının giyilmiş olması nedeniyle iadenin reddedildiği bilgisi geldi ve itiraz ettim. Giymediğim ayakkabıyı giyerek kullanılmış diye göstermişler, iade tekrar tarafıma geldiğinde fotoğrafını ve videosunu çektim ambalajı açarken. Ben gönderdiğimde altında olmayan çizikler vardı. Satıcının son ürün yorumları hep iade ya da defolu ürün ama hiç dikkate almıyorlar. Parama kondular resmen, tüm gerekli yerlere ve CİMER'e şikayette bulunacağım."
Kısa Sürede Bozulan Çanta Ve Yetersiz Müşteri Desteği,"Trendyol'dan almış olduğum Polo marka çantanın mıknatısı, 1 ay olmadan düştü ve rengi soldu. 2.800 TL para verdim, kaliteli olsun diye bu kadar para ödüyoruz. Çok üzücü; ucuz çantalarda böyle bir sorun olmuyor. Kalitesi sıfır. Firmaya ilettim, yardımcı olmadılar. Mağduriyetimi giderirseniz sevinirim."
"Yanlış Ve Kırık Parçalarla Gelen Dolap, Çözüm Süreci Mağduriyet Yarattı","Bofigogrup adındaki şirketten Trendyol üzerinden dolap sipariş ettim. Elime ulaşan ilk ürünün yan plakaları yanlış kesilmiş ve delikleri açılmamış şekilde gönderildi, ilgili firmaya ulaştığımda bana yeni yan plaka gönderecekleri bir tedarik paketi hazırladıklarını söylediler ve yeni bir çift yan plaka gönderdiler. Bu sefer de gelen yan plakalar kırık geldi. 2 haftadır bu ürün ile uğraşıyorum. Yaklaşık 3 saat süren montajın ardından ürünün hatalı olduğunu görmek gerçekten çok üzücüydü. Ürünü iade etmek için demontaj yapmaya, kargo için paketlemeye ve kargoya götürmeye harcayacak enerjim, zamanım ve imkanım yok. Firmanın bu konuyla ilgili bir aksiyon almasını talep ediyorum."
Kredi Kartı Ve Nakit Ödeme İadesinde Referans Numarası Sorunu Ve Yanıltıcı Bilgilendirme,"14.07.2025 tarihinde Trendyol'dan satın aldığım 9591562808 teslimat numaralı ürünümün kredi kartı şifresini, Trendyol'a ne sebeple olduğunu bilmediğim bir nedenden ötürü iletemedim. Bunun üzerine vadesiz mevduat hesabımdan iki adet 594 TL'lik satın alma işlemi yaparak ödememi gerçekleştirdim. Ancak ilgili bankanın kayıtlarını incelediğimde, şifre giremememe rağmen kredi kartımdan tüm ödemelerin tahsil edildiğini tespit ettim. Bunun verdiği endişeyle, kredi kartıyla yaptığım ve vadesiz hesabımdan nakit olarak yaptığım ödemelerin hepsinin iade işlemini başlattım. Trendyol kayıtlarında yaptığım incelemede tüm işlemlerimin iptal edildiğini gördüm. Bir işlem hariç tüm işlemlerimin bankaya Trendyol tarafından referans numarası gönderildiği için iptali bankalarca yapılmış. Ancak yukarıda teslimat numarasını belirttiğim işlemlerden 594 TL'lik bir adedi için bankaya referans numarası bildirilmediği için banka işlemi iptal edemiyor. Firma yetkilileri kendi kayıtlarını incelerse bu işlemde referans numarası olmadığını görecektir. İlgili birçok personeli aradım, bu kişilere derdimi anlatamadım. Birisi 'Akşam 5'ten sonra hesabınıza geçer', diğeri '24 saat sonra geçer', görüştüğüm son personel ise '10 gün içinde geçer' dedi. Sizin işlemin işleyişine ilişkin talimatnamenizde aynı gün iptal edilen işlemlerde, iptal tutarının aynı gün geri iade edildiği belirtiliyor. Ayrıca, benim vadesiz hesabımdan nakit olarak yapılan bir işlem bu. Bu bedelin acilen hesabıma aktarılmasını ve bu konularda daha hassas olunmasını özellikle rica ederim."
